"무등동물병원",
"정동물병원",
"전남낙협동물병원","전라남도 나주시 산포면 송림산제길 170","0613368166",
"봄이든 동물병원","제주특별자치도 제주시 애월읍 일주서로 7143, 105호","064-745-9975",
"아라동물병원","제주특별자치도 제주시 중앙로 581 (아라일동)","727-8442",
"임동물병원","충청남도 논산시 중앙로 512 (대교동)","735-2295",
"논산동물병원","충청남도 논산시 중앙로 504 (대교동)","735-3113",
"중앙동물병원","충청남도 논산시 중앙로480번길 42 (반월동)","735-3490",
"서동물병원","충청남도 논산시 강경읍 옥녀봉로19번길 38-1","745-4376",
"가나동물병원","충청남도 논산시 연무읍 안심로127번길 11-2","742-4287,8",
"제주대학교 야생동물구조센터","제주특별자치도 제주시 산천단남길 42 (아라일동)","064-752-9582",
"현동물병원","제주특별자치도 제주시 한림읍 금악로1길 2",
"고려동물병원","제주특별자치도 제주시 광양1길 4 (이도일동)","0647225918",
"리더스동물병원","제주특별자치도 제주시 노연로 131 (연동)","064-749-7533",
"예서동물병원","제주특별자치도 제주시 수덕로 13, 1층 103호 (노형동)","0647491801",
"제주동물메디컬센터","제주특별자치도 제주시 한림읍 명랑로 16-1",
"제주양돈농협 동물병원","제주특별자치도 제주시 한림읍 한림남3길 8","0647968661",
"탐라수산동물병원","제주특별자치도 제주시 조천읍 북선로 344","0647848580",
"백록동물병원","제주특별자치도 제주시 우령서로 89, 101호 (외도일동)","0647471375",
"튼튼동물병원","제주특별자치도 제주시 중앙로 351, 1층 (이도이동)","0647577582",
"한밭동물병원","제주특별자치도 제주시 한림읍 한림상로 203",
"마야동물병원","제주특별자치도 제주시 조천읍 남조로 1760","064-753-2007",
"수동물병원","제주특별자치도 제주시 연삼로 453 (이도이동)",
"로얄말전문병원","제주특별자치도 제주시 구좌읍 충렬로 12",
"찬`s 동물병원","제주특별자치도 제주시 신광로 105, 103, 104호 (연동)","746-7410",
"봄이든 동물병원","제주특별자치도 제주시 애월읍 일주서로 7143, 105호","064-745-9975",
"아라동물병원","제주특별자치도 제주시 중앙로 581 (아라일동)","727-8442",
"임동물병원","충청남도 논산시 중앙로 512 (대교동)","735-2295",
"논산동물병원","충청남도 논산시 중앙로 504 (대교동)","735-3113",
"중앙동물병원","충청남도 논산시 중앙로480번길 42 (반월동)","735-3490",
"서동물병원","충청남도 논산시 강경읍 옥녀봉로19번길 38-1","745-4376",
"가나동물병원","충청남도 논산시 연무읍 안심로127번길 11-2","742-4287,8",
"금강동물병원","충청남도 논산시 계백로 1023 (반월동)","733-5377,2496",
"피그헬스동물병원","충청남도 논산시 연무읍 득안대로 467","742-3865",
"캐비어동물병원","충청남도 논산시 계백로 1006-3 (취암동)","734-8276",
"호크종합동물병원","충청남도 논산시 중앙로398번길 2 (취암동)","736-8875",
"연산동물병원","충청남도 논산시 벌곡면 대둔로 825-6",
"충남동물병원","충청남도 논산시 부적면 백일헌로 25","041-733-5123",
"금강축산가축병원","충청남도 논산시 연무읍 안심로 200-1",
"논산계룡축협 동물병원","충청남도 논산시 시민로194번길 1 (내동)","041-730-2200",
"백록동물병원","제주특별자치도 제주시 우령서로 89, 101호 (외도일동)","0647471375",
"튼튼동물병원","제주특별자치도 제주시 중앙로 351, 1층 (이도이동)","0647577582",
"한밭동물병원","제주특별자치도 제주시 한림읍 한림상로 203",
"마야동물병원","제주특별자치도 제주시 조천읍 남조로 1760","064-753-2007",
"수동물병원","제주특별자치도 제주시 연삼로 453 (이도이동)",
"로얄말전문병원","제주특별자치도 제주시 구좌읍 충렬로 12",
"찬`s 동물병원","제주특별자치도 제주시 신광로 105, 103, 104호 (연동)","746-7410",
"봄이든 동물병원","제주특별자치도 제주시 애월읍 일주서로 7143, 105호","064-745-9975",
"아라동물병원","제주특별자치도 제주시 중앙로 581 (아라일동)","727-8442",
"임동물병원","충청남도 논산시 중앙로 512 (대교동)","735-2295",
"논산동물병원","충청남도 논산시 중앙로 504 (대교동)","735-3113",
"중앙동물병원","충청남도 논산시 중앙로480번길 42 (반월동)","735-3490",
"서동물병원","충청남도 논산시 강경읍 옥녀봉로19번길 38-1","745-4376",
"가나동물병원","충청남도 논산시 연무읍 안심로127번길 11-2","742-4287,8",
"금강동물병원","충청남도 논산시 계백로 1023 (반월동)","733-5377,2496",
"피그헬스동물병원","충청남도 논산시 연무읍 득안대로 467","742-3865",
"캐비어동물병원","충청남도 논산시 계백로 1006-3 (취암동)","734-8276",
"호크종합동물병원","충청남도 논산시 중앙로398번길 2 (취암동)","736-8875",
"연산동물병원","충청남도 논산시 벌곡면 대둔로 825-6",
"충남동물병원","충청남도 논산시 부적면 백일헌로 25","041-733-5123",
"금강축산가축병원","충청남도 논산시 연무읍 안심로 200-1",
"논산계룡축협 동물병원","충청남도 논산시 시민로194번길 1 (내동)","041-730-2200",
"유명동물병원","충청남도 논산시 관촉로 288 (취암동)","733-4290",
"우리생명과학동물병원","충청남도 논산시 성동면 원봉길 7","734-0390",
"봉동동물병원",
"박동물병원","전라북도 완주군 봉동읍 봉동로 133","063-261-3125",
"남문가축병원","전라북도 완주군 고산면 고산로 91","063-263-7777",
"우리가축병원","전라북도 완주군 고산면 고산로 68","063-262-8575",
"이영준동물병원","전라북도 완주군 봉동읍 봉동동서로 40","063-263-5100",
"연합동물병원","전라북도 완주군 용진면 완주로 179","245-7588",
"아라동물병원","제주특별자치도 제주시 중앙로 581 (아라일동)","727-8442",
"임동물병원","충청남도 논산시 중앙로 512 (대교동)","735-2295",
"논산동물병원","충청남도 논산시 중앙로 504 (대교동)","735-3113",
"중앙동물병원","충청남도 논산시 중앙로480번길 42 (반월동)","735-3490",
"서동물병원","충청남도 논산시 강경읍 옥녀봉로19번길 38-1","745-4376",
"가나동물병원","충청남도 논산시 연무읍 안심로127번길 11-2","742-4287,8",
"금강동물병원","충청남도 논산시 계백로 1023 (반월동)","733-5377,2496",
"피그헬스동물병원","충청남도 논산시 연무읍 득안대로 467","742-3865",
"캐비어동물병원","충청남도 논산시 계백로 1006-3 (취암동)","734-8276",
"호크종합동물병원","충청남도 논산시 중앙로398번길 2 (취암동)","736-8875",
"연산동물병원","충청남도 논산시 벌곡면 대둔로 825-6",
"충남동물병원","충청남도 논산시 부적면 백일헌로 25","041-733-5123",
"금강축산가축병원","충청남도 논산시 연무읍 안심로 200-1",
"논산계룡축협 동물병원","충청남도 논산시 시민로194번길 1 (내동)","041-730-2200",
"유명동물병원","충청남도 논산시 관촉로 288 (취암동)","733-4290",
"우리생명과학동물병원","충청남도 논산시 성동면 원봉길 7","734-0390",
"봉동동물병원",
"박동물병원","전라북도 완주군 봉동읍 봉동로 133","063-261-3125",
"남문가축병원","전라북도 완주군 고산면 고산로 91","063-263-7777",
"우리가축병원","전라북도 완주군 고산면 고산로 68","063-262-8575",
"이영준동물병원","전라북도 완주군 봉동읍 봉동동서로 40","063-263-5100",
"연합동물병원","전라북도 완주군 용진면 완주로 179","245-7588",
"태산동물병원","전라북도 완주군 상관면 신리로 75",
"최동물병원","전라북도 완주군 삼례읍 삼봉로 5-1","063-291-6200",
"파주연천축협동물병원","경기도 파주시 적성면 어삼로 36","031-958-2343",
"운정W동물병원","경기도 파주시 미래로 620, 112호 (와동동, 해솔프라자)","031-944-9075",
"금쪽금쪽금쪽반려동물병원","경기도 파주시 가재울로94번길 27 (목동동)","031-944-9979",
"편안한 동물병원","경기도 파주시 미래로 537, 상가동 111호 (목동동)","031-943-3710",
"버디종합동물병원","경기도 파주시 문산읍 문산역로 77","031-953-1183",
"스마일양한방동물병원","경기도 파주시 금빛로 44, 203호 (금촌동, 마이프라자)",
"캐비어동물병원","충청남도 논산시 계백로 1006-3 (취암동)","734-8276",
"호크종합동물병원","충청남도 논산시 중앙로398번길 2 (취암동)","736-8875",
"연산동물병원","충청남도 논산시 벌곡면 대둔로 825-6",
"충남동물병원","충청남도 논산시 부적면 백일헌로 25","041-733-5123",
"금강축산가축병원","충청남도 논산시 연무읍 안심로 200-1",
"논산계룡축협 동물병원","충청남도 논산시 시민로194번길 1 (내동)","041-730-2200",
"유명동물병원","충청남도 논산시 관촉로 288 (취암동)","733-4290",
"우리생명과학동물병원","충청남도 논산시 성동면 원봉길 7","734-0390",
"봉동동물병원",
"박동물병원","전라북도 완주군 봉동읍 봉동로 133","063-261-3125",
"남문가축병원","전라북도 완주군 고산면 고산로 91","063-263-7777",
"우리가축병원","전라북도 완주군 고산면 고산로 68","063-262-8575",
"이영준동물병원","전라북도 완주군 봉동읍 봉동동서로 40","063-263-5100",
"연합동물병원","전라북도 완주군 용진면 완주로 179","245-7588",
"태산동물병원","전라북도 완주군 상관면 신리로 75",
"최동물병원","전라북도 완주군 삼례읍 삼봉로 5-1","063-291-6200",
"파주연천축협동물병원","경기도 파주시 적성면 어삼로 36","031-958-2343",
"운정W동물병원","경기도 파주시 미래로 620, 112호 (와동동, 해솔프라자)","031-944-9075",
"금쪽금쪽금쪽반려동물병원","경기도 파주시 가재울로94번길 27 (목동동)","031-944-9979",
"편안한 동물병원","경기도 파주시 미래로 537, 상가동 111호 (목동동)","031-943-3710",
"버디종합동물병원","경기도 파주시 문산읍 문산역로 77","031-953-1183",
"스마일양한방동물병원","경기도 파주시 금빛로 44, 203호 (금촌동, 마이프라자)",
"행복플러스동물병원","경기도 파주시 와석순환로 431, 105호 (와동동, 신운정프라자)","031-949-1275",
"흥일가축병원","경기도 파주시 조리읍 봉천로 17","031-941-4029",
"용주골동물병원","경기도 파주시 파주읍 술이홀로 422-1","031-952-4674",
"한국동물병원(산업동물에 대한 출장진료를 전문으로 함)","경기도 파주시 월롱면 엘지로 245",
"행복한동물병원","경기도 파주시 중앙로 241 (금촌동)","031-957-0075",
"문산동물병원","경기도 파주시 문산읍 문향로 35","031-953-7570",
"라임동물병원","경기도 파주시 순못길 21 (다율동)",
"호남동물병원","전라남도 보성군 벌교읍 채동선로 210",
"봉동동물병원",
"박동물병원","전라북도 완주군 봉동읍 봉동로 133","063-261-3125",
"남문가축병원","전라북도 완주군 고산면 고산로 91","063-263-7777",
"우리가축병원","전라북도 완주군 고산면 고산로 68","063-262-8575",
"이영준동물병원","전라북도 완주군 봉동읍 봉동동서로 40","063-263-5100",
"연합동물병원","전라북도 완주군 용진면 완주로 179","245-7588",
"태산동물병원","전라북도 완주군 상관면 신리로 75",
"최동물병원","전라북도 완주군 삼례읍 삼봉로 5-1","063-291-6200",
"파주연천축협동물병원","경기도 파주시 적성면 어삼로 36","031-958-2343",
"운정W동물병원","경기도 파주시 미래로 620, 112호 (와동동, 해솔프라자)","031-944-9075",
"금쪽금쪽금쪽반려동물병원","경기도 파주시 가재울로94번길 27 (목동동)","031-944-9979",
"편안한 동물병원","경기도 파주시 미래로 537, 상가동 111호 (목동동)","031-943-3710",
"버디종합동물병원","경기도 파주시 문산읍 문산역로 77","031-953-1183",
"스마일양한방동물병원","경기도 파주시 금빛로 44, 203호 (금촌동, 마이프라자)",
"행복플러스동물병원","경기도 파주시 와석순환로 431, 105호 (와동동, 신운정프라자)","031-949-1275",
"흥일가축병원","경기도 파주시 조리읍 봉천로 17","031-941-4029",
"용주골동물병원","경기도 파주시 파주읍 술이홀로 422-1","031-952-4674",
"한국동물병원(산업동물에 대한 출장진료를 전문으로 함)","경기도 파주시 월롱면 엘지로 245",
"행복한동물병원","경기도 파주시 중앙로 241 (금촌동)","031-957-0075",
"문산동물병원","경기도 파주시 문산읍 문향로 35","031-953-7570",
"라임동물병원","경기도 파주시 순못길 21 (다율동)",
"호남동물병원","전라남도 보성군 벌교읍 채동선로 210",
"보성동물병원","전라남도 보성군 보성읍 현충로 45",
"벌교동물병원","전라남도 보성군 벌교읍 태백산맥길 99",
"현대동물병원","전라남도 보성군 보성읍 신일길 12-1",
"홍교동물병원","전라남도 보성군 벌교읍 계두길 17-2",
"제일동물병원","전라남도 보성군 보성읍 현충로 74","852-2615",
"선닥터동물병원","전라남도 보성군 보성읍 송재로 151","061-852-8990",
"전남낙농농협 보성공장 동물병원","전라남도 보성군 벌교읍 남하로 158","061-858-6330",

"파주연천축협동물병원","경기도 파주시 적성면 어삼로 36","031-958-2343",
"운정W동물병원","경기도 파주시 미래로 620, 112호 (와동동, 해솔프라자)","031-944-9075",
"금쪽금쪽금쪽반려동물병원","경기도 파주시 가재울로94번길 27 (목동동)","031-944-9979",
"편안한 동물병원","경기도 파주시 미래로 537, 상가동 111호 (목동동)","031-943-3710",
"버디종합동물병원","경기도 파주시 문산읍 문산역로 77","031-953-1183",
"스마일양한방동물병원","경기도 파주시 금빛로 44, 203호 (금촌동, 마이프라자)",
"행복플러스동물병원","경기도 파주시 와석순환로 431, 105호 (와동동, 신운정프라자)","031-949-1275",
"흥일가축병원","경기도 파주시 조리읍 봉천로 17","031-941-4029",
"용주골동물병원","경기도 파주시 파주읍 술이홀로 422-1","031-952-4674",
"한국동물병원(산업동물에 대한 출장진료를 전문으로 함)","경기도 파주시 월롱면 엘지로 245",
"행복한동물병원","경기도 파주시 중앙로 241 (금촌동)","031-957-0075",
"문산동물병원","경기도 파주시 문산읍 문향로 35","031-953-7570",
"라임동물병원","경기도 파주시 순못길 21 (다율동)",
"호남동물병원","전라남도 보성군 벌교읍 채동선로 210",
"보성동물병원","전라남도 보성군 보성읍 현충로 45",
"벌교동물병원","전라남도 보성군 벌교읍 태백산맥길 99",
"현대동물병원","전라남도 보성군 보성읍 신일길 12-1",
"홍교동물병원","전라남도 보성군 벌교읍 계두길 17-2",
"제일동물병원","전라남도 보성군 보성읍 현충로 74","852-2615",
"선닥터동물병원","전라남도 보성군 보성읍 송재로 151","061-852-8990",
"전남낙농농협 보성공장 동물병원","전라남도 보성군 벌교읍 남하로 158","061-858-6330",









"용주골동물병원","경기도 파주시 파주읍 술이홀로 422-1","031-952-4674",
"한국동물병원(산업동물에 대한 출장진료를 전문으로 함)","경기도 파주시 월롱면 엘지로 245",
"행복한동물병원","경기도 파주시 중앙로 241 (금촌동)","031-957-0075",
"문산동물병원","경기도 파주시 문산읍 문향로 35","031-953-7570",
"라임동물병원","경기도 파주시 순못길 21 (다율동)",
"호남동물병원","전라남도 보성군 벌교읍 채동선로 210",
"보성동물병원","전라남도 보성군 보성읍 현충로 45",
"벌교동물병원","전라남도 보성군 벌교읍 태백산맥길 99",
"현대동물병원","전라남도 보성군 보성읍 신일길 12-1",
"홍교동물병원","전라남도 보성군 벌교읍 계두길 17-2",
"제일동물병원","전라남도 보성군 보성읍 현충로 74","852-2615",
"선닥터동물병원","전라남도 보성군 보성읍 송재로 151","061-852-8990",
"전남낙농농협 보성공장 동물병원","전라남도 보성군 벌교읍 남하로 158","061-858-6330",

















"현대동물병원","전라남도 보성군 보성읍 신일길 12-1",
"홍교동물병원","전라남도 보성군 벌교읍 계두길 17-2",
"제일동물병원","전라남도 보성군 보성읍 현충로 74","852-2615",
"선닥터동물병원","전라남도 보성군 보성읍 송재로 151","061-852-8990",
"전남낙농농협 보성공장 동물병원","전라남도 보성군 벌교읍 남하로 158","061-858-6330",

























