"월성가축병원","경상북도 경주시 건천읍 내서로 1125",
"라인 동물병원","경기도 성남시 분당구 정자일로 100, 116호 (정자동, 미켈란쉐르빌)","711-6775",
"바로 동물병원","경기도 부천시 원미로 88-2 (원미동)","255-0075",
"맘스동물의료센터","경기도 부천시 길주로 80, 202호 (상동, 로얄타워)",
"견우동물병원","경상북도 포항시 북구 두호로 29 (두호동)","0542527577",
"닥터펫동물병원","전라북도 전주시 완산구 백제대로 378 (서신동)","272-0075",
"동물병원소풍","서울특별시 성동구 금호로 173, 상가동 1층 24호 (금호동2가, 신금호파크자이)","02-2237-1975",
"하남숲동물병원","경기도 하남시 신장로 202, 1층 (덕풍동)","070-4624-0075",
"마곡숲동물병원","서울특별시 강서구 강서로 471, A동 1층 102호 (마곡동, 엠코지니어스타)","02-3662-5675",
"웰니스동물병원","충청남도 천안시 서북구 삼성대로 20 (백석동)","567-7552",
"원동물병원","서울특별시 동작구 사당로 180 (사당동)","02-587-5618",
"세인트필립 동물병원","서울특별시 동작구 남부순환로267길 5 (사당동,102호)","02-3486-7707",
"유케어종합동물병원","서울특별시 동작구 상도로 214 (상도동)","02-3280-8275",
"이수동물병원","서울특별시 동작구 사당로23나길 30 (사당동,1층)","02-592-8875",
"정겨운동물병원","서울특별시 동작구 상도로 315 (상도1동)","02-817-8172",
"스마트동물병원","서울특별시 동대문구 한천로 164 (장안동)","02-2242-0175",
"닥터페티앙동물병원","경기도 용인시 처인구 명지로 185 (남동)","0313357578",
"닥터K동물병원","경기도 안산시 단원구 초지2로 67, 110호 (초지동, 한미타워)","031-401-0275",
"돌봄동물병원","경기도 수원시 영통구 중부대로 250-1, 1층 (매탄동)","031-217-7570",
"다가온동물병원","경기도 평택시 평택2로 484-6 (비전동)","031-655-7533",
"하임동물병원","경기도 용인시 수지구 포은대로 450 (풍덕천동)","031-898-4300",
"이매 동물병원","경기도 성남시 분당구 성남대로779번길 17, 1층 (이매동, 포티스빌딩)","703-7582",
"24시 폴 동물병원","경기도 성남시 분당구 성남대로 385, 102호 (정자동, 분당클리닉빌딩)","717-7558",
"라인 동물병원","경기도 성남시 분당구 정자일로 100, 116호 (정자동, 미켈란쉐르빌)","711-6775",
"바로 동물병원","경기도 부천시 원미로 88-2 (원미동)","255-0075",
"맘스동물의료센터","경기도 부천시 길주로 80, 202호 (상동, 로얄타워)",
"견우동물병원","경상북도 포항시 북구 두호로 29 (두호동)","0542527577",
"닥터펫동물병원","전라북도 전주시 완산구 백제대로 378 (서신동)","272-0075",
"동물병원소풍","서울특별시 성동구 금호로 173, 상가동 1층 24호 (금호동2가, 신금호파크자이)","02-2237-1975",
"하남숲동물병원","경기도 하남시 신장로 202, 1층 (덕풍동)","070-4624-0075",
"마곡숲동물병원","서울특별시 강서구 강서로 471, A동 1층 102호 (마곡동, 엠코지니어스타)","02-3662-5675",
"웰니스동물병원","충청남도 천안시 서북구 삼성대로 20 (백석동)","567-7552",
"원동물병원","서울특별시 동작구 사당로 180 (사당동)","02-587-5618",
"세인트필립 동물병원","서울특별시 동작구 남부순환로267길 5 (사당동,102호)","02-3486-7707",
"유케어종합동물병원","서울특별시 동작구 상도로 214 (상도동)","02-3280-8275",
"이수동물병원","서울특별시 동작구 사당로23나길 30 (사당동,1층)","02-592-8875",
"정겨운동물병원","서울특별시 동작구 상도로 315 (상도1동)","02-817-8172",
"굿파파 24시 반려동물건강검진센터","서울특별시 동작구 사당로 289, 1층 및 2층 (사당동)","02-593-8275",
"나무동물병원","서울특별시 동작구 흑석한강로 2, 1층 105호 (흑석동)","02-813-4567",
"우리아이동물병원","서울특별시 동작구 상도로 262, 1층 및 2층 (상도동)","02-823-7500",
"흑석24시동물병원","서울특별시 동작구 현충로 92 (흑석동)","02-822-0275",
"상도힐링동물병원","서울특별시 동작구 상도로 353, 1층 (상도동)","02-812-7512",
"보라매웰종합동물병원","서울특별시 동작구 상도로 16, 1층 (대방동)","02-3280-7975",
"지엔동물병원","서울특별시 동작구 상도로 195 (상도동)","02-812-8275",
"디알씨동물병원","부산광역시 기장군 기장읍 차성로 314","051-624-8275",
"라인 동물병원","경기도 성남시 분당구 정자일로 100, 116호 (정자동, 미켈란쉐르빌)","711-6775",
"바로 동물병원","경기도 부천시 원미로 88-2 (원미동)","255-0075",
"맘스동물의료센터","경기도 부천시 길주로 80, 202호 (상동, 로얄타워)",
"견우동물병원","경상북도 포항시 북구 두호로 29 (두호동)","0542527577",
"닥터펫동물병원","전라북도 전주시 완산구 백제대로 378 (서신동)","272-0075",
"동물병원소풍","서울특별시 성동구 금호로 173, 상가동 1층 24호 (금호동2가, 신금호파크자이)","02-2237-1975",
"하남숲동물병원","경기도 하남시 신장로 202, 1층 (덕풍동)","070-4624-0075",
"마곡숲동물병원","서울특별시 강서구 강서로 471, A동 1층 102호 (마곡동, 엠코지니어스타)","02-3662-5675",
"웰니스동물병원","충청남도 천안시 서북구 삼성대로 20 (백석동)","567-7552",
"원동물병원","서울특별시 동작구 사당로 180 (사당동)","02-587-5618",
"세인트필립 동물병원","서울특별시 동작구 남부순환로267길 5 (사당동,102호)","02-3486-7707",
"유케어종합동물병원","서울특별시 동작구 상도로 214 (상도동)","02-3280-8275",
"이수동물병원","서울특별시 동작구 사당로23나길 30 (사당동,1층)","02-592-8875",
"정겨운동물병원","서울특별시 동작구 상도로 315 (상도1동)","02-817-8172",
"굿파파 24시 반려동물건강검진센터","서울특별시 동작구 사당로 289, 1층 및 2층 (사당동)","02-593-8275",
"나무동물병원","서울특별시 동작구 흑석한강로 2, 1층 105호 (흑석동)","02-813-4567",
"우리아이동물병원","서울특별시 동작구 상도로 262, 1층 및 2층 (상도동)","02-823-7500",
"흑석24시동물병원","서울특별시 동작구 현충로 92 (흑석동)","02-822-0275",
"상도힐링동물병원","서울특별시 동작구 상도로 353, 1층 (상도동)","02-812-7512",
"보라매웰종합동물병원","서울특별시 동작구 상도로 16, 1층 (대방동)","02-3280-7975",
"지엔동물병원","서울특별시 동작구 상도로 195 (상도동)","02-812-8275",
"디알씨동물병원","부산광역시 기장군 기장읍 차성로 314","051-624-8275",
"중앙동물병원","서울특별시 동작구 현충로 100, 1층 (흑석동)","02-813-9952",
"모범동물병원","서울특별시 동작구 사당로 229 (사당동)","02-532-1740",
"사당동물병원","서울특별시 동작구 남부순환로 2051 (사당동)","02-586-8275",
"나라동물병원","서울특별시 동작구 사당로 284, 1층 (사당동)","02-522-2656",
"하나사랑동물병원","서울특별시 동작구 상도로 171, 1층 (상도동)","02-822-7574",
"디아크동물종합병원","서울특별시 동작구 장승배기로27길 18 (노량진동)","02-816-7582",
"종합동물병원 Pet Together","서울특별시 동작구 양녕로 184-1 (상도동,지하1층)","02-822-3459",
"동물은내친구","서울특별시 동작구 사당로 252 (사당동)","02-582-7708",
"웰니스동물병원","충청남도 천안시 서북구 삼성대로 20 (백석동)","567-7552",
"원동물병원","서울특별시 동작구 사당로 180 (사당동)","02-587-5618",
"세인트필립 동물병원","서울특별시 동작구 남부순환로267길 5 (사당동,102호)","02-3486-7707",
"유케어종합동물병원","서울특별시 동작구 상도로 214 (상도동)","02-3280-8275",
"이수동물병원","서울특별시 동작구 사당로23나길 30 (사당동,1층)","02-592-8875",
"정겨운동물병원","서울특별시 동작구 상도로 315 (상도1동)","02-817-8172",
"굿파파 24시 반려동물건강검진센터","서울특별시 동작구 사당로 289, 1층 및 2층 (사당동)","02-593-8275",
"나무동물병원","서울특별시 동작구 흑석한강로 2, 1층 105호 (흑석동)","02-813-4567",
"우리아이동물병원","서울특별시 동작구 상도로 262, 1층 및 2층 (상도동)","02-823-7500",
"흑석24시동물병원","서울특별시 동작구 현충로 92 (흑석동)","02-822-0275",
"상도힐링동물병원","서울특별시 동작구 상도로 353, 1층 (상도동)","02-812-7512",
"보라매웰종합동물병원","서울특별시 동작구 상도로 16, 1층 (대방동)","02-3280-7975",
"지엔동물병원","서울특별시 동작구 상도로 195 (상도동)","02-812-8275",
"디알씨동물병원","부산광역시 기장군 기장읍 차성로 314","051-624-8275",
"중앙동물병원","서울특별시 동작구 현충로 100, 1층 (흑석동)","02-813-9952",
"모범동물병원","서울특별시 동작구 사당로 229 (사당동)","02-532-1740",
"사당동물병원","서울특별시 동작구 남부순환로 2051 (사당동)","02-586-8275",
"나라동물병원","서울특별시 동작구 사당로 284, 1층 (사당동)","02-522-2656",
"하나사랑동물병원","서울특별시 동작구 상도로 171, 1층 (상도동)","02-822-7574",
"디아크동물종합병원","서울특별시 동작구 장승배기로27길 18 (노량진동)","02-816-7582",
"종합동물병원 Pet Together","서울특별시 동작구 양녕로 184-1 (상도동,지하1층)","02-822-3459",
"동물은내친구","서울특별시 동작구 사당로 252 (사당동)","02-582-7708",
"강남동물병원","서울특별시 동작구 여의대방로 284 (대방동)","02-813-5999",
"다나동물병원","서울특별시 동작구 동작대로 47 (사당동)","02-3471-0375",
"피닉스동물병원","서울특별시 동작구 상도로 43, 1층 (대방동, 정원빌딩)","02-813-7579",
"위례나무동물병원","경기도 성남시 수정구 위례동로 147, 106호 (창곡동, 위례건아타워)","778-8738",
"울산동물영상센터","울산광역시 남구 신정로 85-2 (달동)",
"도란도란동물병원","경기도 안산시 상록구 용신로 266 (사동)","031-408-8584",
"동물치유쉼터","전라북도 전주시 덕진구 소리로 68 (덕진동1가, 전주동물원)","281-6740",
"마리네 동물병원","제주특별자치도 제주시 애월읍 광상로 323-20","070-7721-0075",
"우리아이동물병원","서울특별시 동작구 상도로 262, 1층 및 2층 (상도동)","02-823-7500",
"흑석24시동물병원","서울특별시 동작구 현충로 92 (흑석동)","02-822-0275",
"상도힐링동물병원","서울특별시 동작구 상도로 353, 1층 (상도동)","02-812-7512",
"보라매웰종합동물병원","서울특별시 동작구 상도로 16, 1층 (대방동)","02-3280-7975",
"지엔동물병원","서울특별시 동작구 상도로 195 (상도동)","02-812-8275",
"디알씨동물병원","부산광역시 기장군 기장읍 차성로 314","051-624-8275",
"중앙동물병원","서울특별시 동작구 현충로 100, 1층 (흑석동)","02-813-9952",
"모범동물병원","서울특별시 동작구 사당로 229 (사당동)","02-532-1740",
"사당동물병원","서울특별시 동작구 남부순환로 2051 (사당동)","02-586-8275",
"나라동물병원","서울특별시 동작구 사당로 284, 1층 (사당동)","02-522-2656",
"하나사랑동물병원","서울특별시 동작구 상도로 171, 1층 (상도동)","02-822-7574",
"디아크동물종합병원","서울특별시 동작구 장승배기로27길 18 (노량진동)","02-816-7582",
"종합동물병원 Pet Together","서울특별시 동작구 양녕로 184-1 (상도동,지하1층)","02-822-3459",
"동물은내친구","서울특별시 동작구 사당로 252 (사당동)","02-582-7708",
"강남동물병원","서울특별시 동작구 여의대방로 284 (대방동)","02-813-5999",
"다나동물병원","서울특별시 동작구 동작대로 47 (사당동)","02-3471-0375",
"피닉스동물병원","서울특별시 동작구 상도로 43, 1층 (대방동, 정원빌딩)","02-813-7579",
"위례나무동물병원","경기도 성남시 수정구 위례동로 147, 106호 (창곡동, 위례건아타워)","778-8738",
"울산동물영상센터","울산광역시 남구 신정로 85-2 (달동)",
"도란도란동물병원","경기도 안산시 상록구 용신로 266 (사동)","031-408-8584",
"동물치유쉼터","전라북도 전주시 덕진구 소리로 68 (덕진동1가, 전주동물원)","281-6740",
"마리네 동물병원","제주특별자치도 제주시 애월읍 광상로 323-20","070-7721-0075",
